Number,Company,Product,TypeName,Inches,Cpu,Gpu,OpSys,Weight_KG,Ram_GB,IPS,Full HD,Touchscreen,Four_K,HDD,SSD,Flash_Storage,Memory_GB,Price_RM,Price-Filter,ResolutionSize,Cpu2,ScoreCPU$ï..Score,Processor_base,ScorePB$ï..Score,Total_CPU_Score,Simple.Media.Editing,Heavy.Pro.Media.Editing..3D.Design.etc.,Developer,Casual.Gaming,Heavy.Gaming,Documents,Heavy.Book.Keeping,Web.Browsing,V2,Purpose.Filter,Time.Filter,ScreenSize.Filter,OS.Filter
258,Lenovo,IdeaPad 120S-14IAP,Notebook,14,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,1.44,4,0,0,0,0,0,0,1,64,1235,RM 800-1500,1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
259,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,No OS,1.9,4,0,0,0,0,1,0,0,1,1252,RM 800-1500,1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Medium (14 -16.9),Windows
185,Mediacom,SmartBook 130,Notebook,13.3,Intel Atom x5-Z8350 1.44GHz,Intel HD Graphics,Windows 10,1.35,4,1,1,0,0,0,0,1,32,1265,RM 800-1500,1920x1080,Intel Atom x5-Z8350 ,3,1.44GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
73,HP,255 G6,Notebook,15.6,AMD E-Series E2-9000e 1.5GHz,AMD Radeon R2,No OS,1.86,4,0,0,0,0,1,0,0,500,1280,RM 800-1500,1366x768,AMD E-Series E2-9000e ,2,1.5GHz,1,2,1,0,0,1,0,1,0,1,7,Simple Media Editing,Most of the time (Daily),Medium (14 -16.9),Windows
221,HP,250 G6,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,No OS,1.86,4,0,0,0,0,1,0,0,500,1285,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Medium (14 -16.9),Windows
262,Vero,K147 (N3350/4GB/32GB/FHD/W10),Notebook,14,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,1.3,4,1,1,0,0,0,0,1,32,1290,RM 800-1500,1920x1080,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
226,Lenovo,Chromebook N23,Netbook,11.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Chrome OS,1.25,4,0,0,0,0,0,1,0,16,1314,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Chrome
248,Mediacom,Smartbook 142,Notebook,14,Intel Atom Z8350 1.92GHz,Intel HD Graphics 400,Windows 10,1.4,4,1,1,0,0,1,0,0,32,1314,RM 800-1500,1920x1200,Intel Atom Z8350 ,3,1.92GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
192,Acer,TravelMate B117-M,Netbook,11.6,Intel Celeron Dual Core N3050 1.6GHz,Intel HD Graphics,Windows 10,1.4,4,0,0,0,0,0,0,1,32,1334,RM 800-1500,1366x768,Intel Celeron Dual Core N3050 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Windows
223,Samsung,Chromebook 3,Netbook,11.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Chrome OS,1.15,4,0,0,0,0,0,0,1,16,1334,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Chrome
285,Lenovo,V110-15IAP (N3350/4GB/128GB/No,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,No OS,1.9,4,0,0,0,0,0,1,0,128,1342,RM 800-1500,1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Medium (14 -16.9),Windows
296,Acer,Aspire 3,Notebook,15.6,Intel Celeron Dual Core N3350 2GHz,Intel HD Graphics 500,Linux,2.1,4,0,0,0,0,1,0,0,1,1349,RM 800-1500,1366x768,Intel Celeron Dual Core N3350 ,3,2GHz,4,4.5,0,1,1,0,1,0,1,0,7,Heavy Coding/Gaming,Occasionally(Few time per week),Medium (14 -16.9),Windows
204,Lenovo,IdeaPad 100S-14IBR,Notebook,14,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics,Windows 10,1.43,4,0,0,0,0,0,0,1,32,1359,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
203,Dell,Inspiron 3552,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics,Linux,2.2,4,0,0,0,0,1,0,0,500,1364,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Occasionally(Few time per week),Medium (14 -16.9),Windows
265,Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Linux,2,4,0,0,0,0,1,0,0,1,1364,RM 800-1500,1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Medium (14 -16.9),Windows
263,Asus,VivoBook Flip,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,1.1,2,0,0,1,0,0,0,1,32,1364,RM 800-1500, 1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Windows
70,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14,AMD E-Series 6110 1.5GHz,AMD Radeon R2,Windows 10 S,1.65,4,0,0,0,0,0,1,0,64,1379,RM 800-1500,1366x768,AMD E-Series 6110 ,2,1.5GHz,1,2,1,0,0,1,0,1,0,1,7,Simple Media Editing,Most of the time (Daily),Small (12.1-14.0 inch),Windows 10
286,Asus,L403NA-GA013TS (N3350/4GB/32GB/W10),Notebook,14,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,1.5,4,0,0,0,0,0,0,1,32,1379,RM 800-1500,1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
222,HP,Stream 14-AX001nv,Notebook,14,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Windows 10,1.44,2,0,0,0,0,0,0,1,32,1384,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
268,Asus,VivoBook E403NA,Notebook,14,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,1.5,4,0,0,0,0,0,0,1,32,1419,RM 800-1500,1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
238,Asus,Chromebook C202SA,Netbook,11.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Chrome OS,1.2,4,0,0,0,0,0,0,1,16,1428,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Chrome
235,HP,250 G6,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,No OS,1.86,4,0,0,0,0,1,0,0,1,1433,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Medium (14 -16.9),Windows
240,Acer,Aspire ES1-531,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Linux,2.4,4,0,0,0,0,1,0,0,500,1433,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Occasionally(Few time per week),Medium (14 -16.9),Windows
242,Acer,Aspire ES1-531,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Linux,2.4,4,0,0,0,0,1,0,0,500,1433,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Occasionally(Few time per week),Medium (14 -16.9),Windows
244,Acer,Aspire ES1-531,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Linux,2.4,4,0,0,0,0,1,0,0,500,1433,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Occasionally(Few time per week),Medium (14 -16.9),Windows
264,Lenovo,IdeaPad 120S-14IAP,Notebook,14,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,1.44,4,0,0,0,0,0,0,1,32,1448,RM 800-1500,1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
227,Dell,Chromebook 11,Netbook,11.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Chrome OS,1.26,4,0,0,0,0,0,0,1,16,1463,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Chrome
76,HP,15-BA015wm (E2-7110/4GB/500GB/W10),Notebook,15.6,AMD E-Series 7110 1.8GHz,AMD Radeon R2 Graphics,Windows 10,1.86,4,0,0,0,0,1,0,0,500,1473,RM 800-1500,1366x768,AMD E-Series 7110 ,2,1.8GHz,2,2.5,1,0,0,1,0,1,0,1,7,Simple Media Editing,Most of the time (Daily),Medium (14 -16.9),Windows
234,Acer,Chromebook C731-C78G,Netbook,11.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,Chrome OS,1.25,4,1,0,0,0,0,0,1,32,1473,RM 800-1500, 1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Chrome
82,Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,15.6,AMD A6-Series 7310 2GHz,AMD Radeon R4,Windows 10,2.19,4,0,0,0,0,1,0,0,500,1478,RM 800-1500,1366x768,AMD A6-Series 7310 ,2,2GHz,4,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Occasionally(Few time per week),Medium (14 -16.9),Windows
280,Asus,VivoBook E403NA,Notebook,14,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,1.5,4,0,1,0,0,0,0,1,32,1478,RM 800-1500,1920x1080,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
302,Acer,Aspire A315-31,Notebook,15.6,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 505,Linux,2.1,4,0,0,0,0,1,0,0,1,1478,RM 800-1500,1366x768,Intel Pentium Quad Core N4200 ,1,1.1GHz,1,1,1,0,0,0,0,1,0,1,7,Light Home Use,Occasionally(Few time per week),Medium (14 -16.9),Windows
77,Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD E-Series 9000 2.2GHz,AMD Radeon R2 Graphics,Windows 10,2.2,4,0,0,0,0,1,0,0,500,1483,RM 800-1500,1366x768,AMD E-Series 9000 ,2,2.2GHz,2,2.5,1,0,0,1,0,1,0,1,7,Simple Media Editing,Occasionally(Few time per week),Medium (14 -16.9),Windows
233,HP,250 G6,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,No OS,1.86,4,0,0,0,0,0,1,0,128,1483,RM 800-1500,1366x768,Intel Celeron Dual Core N3060 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Medium (14 -16.9),Windows
271,Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,1.16,4,1,1,1,0,0,1,0,32,1483,RM 800-1500,1920x1080,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Windows
273,Lenovo,IdeaPad 320-14IAP,Notebook,14,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,2.1,4,0,0,0,0,1,0,0,500,1483,RM 800-1500,1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Occasionally(Few time per week),Small (12.1-14.0 inch),Windows
282,Asus,R417NA-RS01 (N3350/4GB/32GB/W10),Notebook,14,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,1.63,4,0,0,0,0,0,0,1,32,1483,RM 800-1500,1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Small (12.1-14.0 inch),Windows
293,Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Notebook,15.6,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 500,Windows 10,2,4,0,0,0,0,1,0,0,500,1508,RM 1500-2500,1366x768,Intel Pentium Quad Core N4200 ,1,1.1GHz,1,1,1,0,0,0,0,1,0,1,7,Light Home Use,Most of the time (Daily),Medium (14 -16.9),Windows
270,Lenovo,Lenovo IdeaPad,Notebook,11.6,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,1.15,2,0,0,0,0,0,0,1,32,1510,RM 1500-2500,1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Windows
269,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,Windows 10,2.2,4,0,0,0,0,1,0,0,1,1518,RM 1500-2500,1366x768,Intel Celeron Dual Core N3350 ,3,1.1GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Occasionally(Few time per week),Medium (14 -16.9),Windows
87,Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD A6-Series 9220 2.9GHz,AMD Radeon R4 Graphics,No OS,2.2,4,0,0,0,0,1,0,0,500,1533,RM 1500-2500,1366x768,AMD A6-Series 9220 ,2,2.9GHz,3,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Occasionally(Few time per week),Medium (14 -16.9),Windows
219,Dell,Inspiron 3552,Notebook,15.6,Intel Celeron Dual Core N3060 1.60GHz,Intel HD Graphics 400,Windows 10,1.8,4,0,0,0,0,1,0,0,500,1533,RM 1500-2500,1366x768,Intel Celeron Dual Core N3060 ,3,1.60GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Medium (14 -16.9),Windows
257,Asus,X540SA-RBPDN09 (N3710/4GB/1TB/W10),Notebook,15.6,Intel Pentium Quad Core N3710 1.6GHz,Intel HD Graphics 405,Windows 10,2.65,4,0,0,0,0,1,0,0,1,1533,RM 1500-2500,1366x768,Intel Pentium Quad Core N3710 ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Occasionally(Few time per week),Medium (14 -16.9),Windows
306,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 505,Windows 10,2.2,4,0,0,0,0,1,0,0,1,1533,RM 1500-2500,1366x768,Intel Pentium Quad Core N4200 ,1,1.1GHz,1,1,1,0,0,0,0,1,0,1,7,Light Home Use,Occasionally(Few time per week),Medium (14 -16.9),Windows
310,Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,15.6,Intel Celeron Dual Core 3855U 1.6GHz,Intel HD Graphics 510,Windows 10,2.1,4,0,0,0,0,1,0,0,500,1577,RM 1500-2500,1366x768,Intel Celeron Dual Core 3855U ,3,1.6GHz,2,3.5,1,0,1,1,0,0,1,0,7,Heavy Documents Usage,Occasionally(Few time per week),Medium (14 -16.9),Windows
215,Lenovo,Yoga Book,2 in 1 Convertible,10.1,Intel Atom x5-Z8550 1.44GHz,Intel HD Graphics 400,Android,0.69,4,1,0,1,0,0,0,1,64,1582,RM 1500-2500,1920x1200,Intel Atom x5-Z8550 ,3,1.44GHz,1,3,1,0,0,1,0,0,1,0,7,Heavy Documents Usage,Most of the time (Daily),Very small (10-12 inch),Windows
